p,p,b,b,t,t,t̬,t̬,ʔ,ʔ,d,d,k,k,g,g
bead,/ biːd /,big,/ bɪɡ /,,,,,,,,,,,,
beam,/ biːm /,bit,/ bɪt /,,,,,,,,,,,,
bean,/ biːn /,chin,/ tʃɪn /,,,,,,,,,,,,
